Row Type,_uid,_created,_updated,_deleted,_did,_pid,_eid,_tid,_lbl,_emoji,_desc,_scope,_type,_rollup,_period,_note,_source,_val
Def,lh2vk0q0-0db6,2023-04-29T22:51:20.233-05:00,2023-04-29T22:51:20.233-05:00,FALSE,0m7w,,,,defOne,1️⃣,This is now inerited,SECOND,,,,,,
Def,lh2vk0q3-0dtj,2023-04-29T22:51:20.235-05:00,2023-04-29T22:51:24.465-05:00,TRUE,ay7l,,,,TWO,2️⃣,"Scoped at an **hour**, cause why not have that option?",HOUR,,,,,,
Def,lh2vk0q4-0a06,2023-04-24T20:51:59.365-05:00,2023-04-29T22:51:20.236-05:00,FALSE,05a8,,,,FREE,3️⃣,Set a description,DAY,,,,,,
Def,lh2vk3zj-m9d6,2023-04-29T22:51:20.235-05:00,2023-04-29T22:51:24.463-05:00,FALSE,ay7l,,,,Two Relabeled,2️⃣,"Scoped at an **hour**, cause why not have that option?",HOUR,,,,,,
PointDef,lh2vk0q2-ojke,2023-04-29T22:51:20.234-05:00,2023-04-29T22:51:20.234-05:00,FALSE,0m7w,8esq,,,Select Test,⛏️,For testing selects,,SELECT,COUNTOFEACH,,,,
PointDef,lh2vk0q4-0o48,2023-04-29T22:51:20.236-05:00,2023-04-29T22:51:20.236-05:00,FALSE,05a8,0iu2,,,Free Item,🆓,Set a description,,TEXT,COUNT,,,,
PointDef,lh2vk0q5-klza,2023-04-29T22:51:20.237-05:00,2023-04-29T22:51:24.465-05:00,TRUE,ay7l,0pc6,,,Numeric Thing,#️⃣,Set a description,,NUMBER,AVERAGE,,,,
PointDef,lh2vk0q5-1wpj,2023-04-29T22:51:20.237-05:00,2023-04-29T22:51:24.466-05:00,TRUE,ay7l,0tb7,,,Boolean Thing,👍,Orig desc,,BOOL,COUNT,,,,
PointDef,lh2vk3zk-dywe,2023-04-29T22:51:20.237-05:00,2023-04-29T22:51:24.464-05:00,FALSE,ay7l,0pc6,,,Test Relabel,#️⃣,Set a description,,NUMBER,AVERAGE,,,,
PointDef,lh2vk3zl-r928,2023-04-29T22:51:20.237-05:00,2023-04-29T22:51:24.466-05:00,FALSE,ay7l,0tb7,,,Boolean Thing,👎,Orig desc,,BOOL,COUNT,,,,
Entry,lh2vk0q6-0m06,2023-04-29T22:51:20.238-05:00,2023-04-29T22:51:24.469-05:00,TRUE,ay7l,,lgricx7k-08al,,,,,,,,2023-04-22T06,Orig note,,
Entry,lh2vk0q7-0kef,2023-04-29T22:51:20.239-05:00,2023-04-29T22:51:20.24-05:00,FALSE,0m7w,,lh2vk0q8-3am6,,,,,,,,2023-04-29T22:51:20,,,
Entry,lh2vk3zm-097s,2023-04-29T22:51:20.238-05:00,2023-04-29T22:51:24.467-05:00,FALSE,ay7l,,lgricx7k-08al,,,,,,,,2023-04-22T06,Updated noted,,
EntryPoint,lh2vk0q6-idb9,2023-04-29T22:51:20.239-05:00,2023-04-29T22:51:24.468-05:00,TRUE,ay7l,0tb7,lgricx7k-08al,,,,,,,,,,,false
EntryPoint,lh2vk0q7-r0s5,2023-04-29T22:51:20.239-05:00,2023-04-29T22:51:24.47-05:00,TRUE,ay7l,0pc6,lgricx7k-08al,,,,,,,,,,,5
EntryPoint,lh2vk3zo-pwh7,2023-04-29T22:51:20.239-05:00,2023-04-29T22:51:24.468-05:00,FALSE,ay7l,0tb7,lgricx7k-08al,,,,,,,,,,,true
EntryPoint,lh2vk3zp-0p2f,2023-04-29T22:51:20.239-05:00,2023-04-29T22:51:24.469-05:00,FALSE,ay7l,0pc6,lgricx7k-08al,,,,,,,,,,,6
TagDef,lh2vk0q9-0iha,2023-04-29T22:51:20.241-05:00,2023-04-29T22:51:20.241-05:00,FALSE,,,,0x2q,My Tag!,,,,,,,,,
TagDef,lh2vk0q9-5k8p,2023-04-29T22:51:20.241-05:00,2023-04-29T22:51:24.471-05:00,TRUE,,,,vvct,Orig Tag Label,,,,,,,,,
TagDef,lh2vk0qa-qbib,2023-04-29T22:51:20.242-05:00,2023-04-29T22:51:20.242-05:00,FALSE,,,,0vvi,Select Option To Delete,,,,,,,,,
TagDef,lh2vk0qa-4x8q,2023-04-29T22:51:20.242-05:00,2023-04-29T22:51:20.242-05:00,FALSE,,,,0vva,Select Option 1,,,,,,,,,
TagDef,lh2vk0qb-gn9e,2023-04-29T22:51:20.243-05:00,2023-04-29T22:51:20.243-05:00,FALSE,,,,0vvb,Select Option 2,,,,,,,,,
TagDef,lh2vk3zq-j8yj,2023-04-29T22:51:20.241-05:00,2023-04-29T22:51:24.47-05:00,FALSE,,,,vvct,New Label,,,,,,,,,
Tag,lh2vk0qb-bq3o,2023-04-29T22:51:20.243-05:00,2023-04-29T22:51:24.472-05:00,TRUE,ay7l,,,vvct,,,,,,,,,,
Tag,lh2vk0qc-98am,2023-04-29T22:51:20.244-05:00,2023-04-29T22:51:24.471-05:00,TRUE,0m7w,8esq,,0vvi,,,,,,,,,,
Tag,lh2vk0qc-qss9,2023-04-29T22:51:20.244-05:00,2023-04-29T22:51:20.244-05:00,FALSE,0m7w,8esq,,0vva,,,,,,,,,,
Tag,lh2vk0qd-95rs,2023-04-29T22:51:20.245-05:00,2023-04-29T22:51:20.245-05:00,FALSE,0m7w,8esq,,0vvb,,,,,,,,,,
